"Facility Name" "District Name"
"UTALE 1 HEALTH CENTRE" BALAKA
"UTALE 2 HEALTH CENTRE" BALAKA
"ULONGWE HEALTH CENTRE" BALAKA
"PHALULA HEALTH CENTRE" BALAKA
"COMFORT CLINIC" BALAKA
"CHIMATIRO HEALTH CENTRE" BALAKA
"BALAKA DREAM CLINIC" BALAKA
"CHIENDAUSIKU HEALTH CENTRE" BALAKA
"KWITANDA HEALTH CENTRE" BALAKA
"NAMANOLO HEALTH CENTRE" BALAKA
"PHIMBI HEALTH CENTRE" BALAKA
"NAMDUMBO HEALTH CENTRE" BALAKA
"MBERA HEALTH CENTRE" BALAKA
"KALEMBO HEALTH CENTRE" BALAKA
"BALAKA DHO PHARMACY" BALAKA
"BALAKA OPD" BALAKA
"DZIWE HEALTH CENTRE (BLK170372)" BALAKA
"MWIMA HEALTH CENTRE" BALAKA
"BLANTYRE DREAM PROJECT" BLANTYRE
"SOCHE SDA DISPENSARY" BLANTYRE
"MPINGO MATERNITY" BLANTYRE
"MALABADA HEALTH CENTRE" BLANTYRE
"LUMBIRA / MITSIDI HEALTH CENTRE" BLANTYRE
"KANJEDZA POLICE CLINIC" BLANTYRE
"ST VINCENT HEALTH CENTRE" BLANTYRE
"CHILEKA SDA HEALTH CENTRE" BLANTYRE
"PENSULO HEALTH CENTRE" BLANTYRE
"CHILAWENI HEALTH CENTRE" BLANTYRE
"CHAVALA HEALTH CENTRE" BLANTYRE
"CHIMEMBE HEALTH CENTRE" BLANTYRE
"SOCHE MATERNITY HEALTH CENTRE" BLANTYRE
"MADZIABANGO HEALTH CENTRE" BLANTYRE
"MAKATA HEALTH CENTRE" BLANTYRE
"BLANTYRE DHO PHARMACY" BLANTYRE
"NAMIKOKO HEALTH CENTRE" BLANTYRE
"DZIWE HEALTH CENTRE" BLANTYRE
"MAKHETHA CLINIC HEALTH CENTRE" BLANTYRE
"GATEWAY CLINIC" BLANTYRE
"LIRANGWE HEALTH CENTRE" BLANTYRE
"MDEKA HEALTH CENTRE" BLANTYRE
"MBAYANI HEALTH CENTRE" BLANTYRE
"LUNDU HEALTH CENTRE" BLANTYRE
"KADIDI HEALTH CENTRE" BLANTYRE
"MPEMBA HEALTH CENTRE" BLANTYRE
"MLAMBE HOSPITAL" BLANTYRE
"CHIKOWA HEALTH CENTRE" BLANTYRE
"CHILOMONI HEALTH CENTRE" BLANTYRE
"CHIRIMBA HEALTH CENTRE" BLANTYRE
"SOUTH LUNZU HEALTH CENTRE" BLANTYRE
"ZINGWANGWA HEALTH CENTRE" BLANTYRE
"BANGWE HEALTH CENTRE" BLANTYRE
"LIMBE HEALTH CENTRE" BLANTYRE
"CHILEKA HEALTH CENTRE" BLANTYRE
"NDIRANDE HEALTH CENTRE" BLANTYRE
"QUEEN ELIZABETH CENTRAL HOSPITAL PHARMACY" BLANTYRE
"LIGHTHOUSE FOUNDATION HEALTH CENTER" BLANTYRE
"MACRO LIMBE CLINIC" BLANTYRE
"MISOMALI HEALTH CENTRE" CHIKWAWA
"KAPICHIRA ESCOM CLINIC" CHIKWAWA
"SUCOMA CLINIC ILLOVO" CHIKWAWA
"NGABU SDA HEALTH CENTRE" CHIKWAWA
"MAJETE HUNGER CLINIC" CHIKWAWA
"NCHALO HUNGER CLINIC" CHIKWAWA
"KAKOMA HEALTH CENTRE" CHIKWAWA
"MKUMANIZA HEALTH CENTRE" CHIKWAWA
"NDAKWERA HEALTH CENTRE" CHIKWAWA
"ST MONTFORT HOSPITAL" CHIKWAWA
"BEREU HEALTH CENTRE" CHIKWAWA
"DOLO HEALTH CENTRE" CHIKWAWA
"MFERA HEALTH CENTRE" CHIKWAWA
"MAPELERA HEALTH CENTRE" CHIKWAWA
"CHAPANANGA HEALTH CENTRE" CHIKWAWA
"CHIPWAILA HEALTH CENTRE" CHIKWAWA
"GAGA HEALTH CENTRE" CHIKWAWA
"MAKHWIRA HEALTH CENTRE" CHIKWAWA
"NGABU RURAL/ COMMUNITY HOSPITAL" CHIKWAWA
"CHIKWAWA DHO PHARMACY" CHIKWAWA
"ALUMENDA HEALTH CENTRE" CHIKWAWA
"GOLA HEALTH CENTRE" CHIKWAWA
"KALULU CLINIC" CHIKWAWA
"LENGWE HEALTH CENTRE" CHIKWAWA
"MWANZA CLINIC AREA 3" CHIKWAWA
"MALAVI HEALTH CENTRE" CHIRADZULU
"PIM HEALTH CENTRE" CHIRADZULU
"ST. JOSEPH HEALTH CENTRE" CHIRADZULU
CHIMWAWA CHIRADZULU
"MAUWA HEALTH CENTRE" CHIRADZULU
"THUMBWE HEALTH CENTRE" CHIRADZULU
"CHITERA HEALTH CENTRE" CHIRADZULU
"NDUNDE HEALTH CENTRE" CHIRADZULU
"NAMADZI HEALTH CENTRE" CHIRADZULU
