Facility_id Product_id "District Name"
"ADVENTIST LILONGWE HOSPITAL" "COPPER CONTAINING IUCD (COPPER T)" LILONGWE
"ADVENTIST LILONGWE HOSPITAL" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD," LILONGWE
"ADVENTIST LILONGWE HOSPITAL" "JADELLE( LEVONORGESTREL  75MG/ROD),2ROD IMPLANT,5  YEAR EFFICACY" LILONGWE
"ADVENTIST LILONGWE HOSPITAL" "LEVOPLANT (LEVONOGETREL75MG/ROD),2ROD IMPLANT,3 YEAR EFFICACY" LILONGWE
"ADVENTIST LILONGWE HOSPITAL" "MALE CONDOMS" LILONGWE
"ADVENTIST LILONGWE HOSPITAL" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS,VIAL" LILONGWE
"ADVENTIST LILONGWE HOSPITAL" "OXYTOCIN 10 IU/ML, 1ML" LILONGWE
"AFRICAN BIBLE COLLEGE CLINIC" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD" LILONGWE
"AFRICAN BIBLE COLLEGE CLINIC" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD," LILONGWE
"AFRICAN BIBLE COLLEGE CLINIC" "JADELLE( LEVONORGESTREL  75MG/ROD),2ROD IMPLANT,5  YEAR EFFICACY" LILONGWE
"AFRICAN BIBLE COLLEGE CLINIC" JADELLE(IMPLANT) LILONGWE
"AFRICAN BIBLE COLLEGE CLINIC" "LEVOPLANT (LEVONOGETREL75MG/ROD),2ROD IMPLANT,3 YEAR EFFICACY" LILONGWE
"AFRICAN BIBLE COLLEGE CLINIC" "MALE CONDOMS" LILONGWE
"AFRICAN BIBLE COLLEGE CLINIC" "MALE CONDOMS,EACH" LILONGWE
"AFRICAN BIBLE COLLEGE CLINIC" "MEDROXYPROGESTERONE ACETATE INJECTION, 150MG/ML - DEPO-PROVERA" LILONGWE
"AFRICAN BIBLE COLLEGE CLINIC" "MEDROXYPROGESTERONE ACETATE INTRAMUSCULAR INJECTION, 150MG/ML E.G DEPO PROVERA/TRICLOFEM, VIAL" LILONGWE
"AFRICAN BIBLE COLLEGE CLINIC" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS" LILONGWE
"AFRICAN BIBLE COLLEGE CLINIC" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS,VIAL" LILONGWE
"AFRICAN BIBLE COLLEGE CLINIC" "ORAL CONTRACEPTIVE TABLETS - LEVONOGESTREL ONLY 0.3MG (MICROLUT)" LILONGWE
"AFRICAN BIBLE COLLEGE CLINIC" "ORAL CONTRACEPTIVE, COMBINED LOW OESTROGEN (MICROGYNON) ETHINYLESTRADIOL 0.03MG + LEVONORGESTREL 0.15MG" LILONGWE
"AIRWING CLINIC HEALTH CENTRE" "COPPER CONTAINING IUCD" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" "COPPER CONTAINING IUCD (COPPER T)" ZOMBA
