Facility_id Product_id "Stock Status As Of" "Stock on Hand" AMC MOS "% Records Blank"
"FACILITY 1" "COPPER CONTAINING IUCD (COPPER T)" 2024-09-01 0.0 20.0 0.0 0.0
"FACILITY 1" "FEMALE CONDOMS" 2024-09-01 800.0 200.0 4.0 0.0
"FACILITY 1" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD," 2024-01-01 0.0 6.0 0.0 0.0
"FACILITY 1" "JADELLE( LEVONORGESTREL  75MG/ROD),2ROD IMPLANT,5  YEAR EFFICACY" 2024-01-01 0.0 22.0 0.0 0.0
"FACILITY 1" "LEVONORGESTREL (0.75MG, 2 TAB) OR (1.5MG, 1 TAB) PACK - EMERGENCY PILL" 2024-01-01 0.0 4.0 0.0 0.0
"FACILITY 1" "MALE CONDOMS" 2024-06-01 28800.0 1500.0 19.2 0.0
"FACILITY 1" "MEDROXYPROGESTERONE ACETATE INTRAMUSCULAR INJECTION, 150MG/ML E.G DEPO PROVERA/TRICLOFEM, VIAL" 2024-04-01 0.0 166.66666666666666 0.0 0.0
"FACILITY 1" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS,VIAL" 2024-09-01 0.0 266.6666666666667 0.0 0.0
"FACILITY 1" "ORAL CONTRACEPTIVE, COMBINED LOW OESTROGEN (MICROGYNON) ETHINYLESTRADIOL 0.03MG + LEVONORGESTREL 0.15MG" 2024-04-01 0.0 126.0 0.0 0.0
"FACILITY 1" "OXYTOCIN 10 IU/ML, 1ML" 2024-10-01 300.0 180.0 1.6666666666666667 0.0
"FACILITY 10" "COPPER CONTAINING IUCD (COPPER T)" 2024-09-01 10.0 5.0 2.0 0.0
"FACILITY 10" "FEMALE CONDOMS" 2024-10-01 980.0 123.33333333333333 7.9459459459459465 0.0
"FACILITY 10" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD," 2024-10-01 22.0 23.333333333333332 0.942857142857143 0.0
"FACILITY 10" "JADELLE( LEVONORGESTREL  75MG/ROD),2ROD IMPLANT,5  YEAR EFFICACY" 2024-10-01 800.0 40.0 20.0 0.0
"FACILITY 10" "LEVONORGESTREL (0.75MG, 2 TAB) OR (1.5MG, 1 TAB) PACK - EMERGENCY PILL" 2024-09-01 33.0 13.333333333333334 2.475 0.0
"FACILITY 10" "LEVOPLANT (LEVONOGETREL75MG/ROD),2ROD IMPLANT,3 YEAR EFFICACY" 2024-10-01 320.0 23.333333333333332 13.714285714285715 0.0
"FACILITY 10" "MAGNESIUM SULPHATE 20%, 2ML AMPOULE" 2024-10-01 10.0   0.0
"FACILITY 10" "MAGNESIUM SULPHATE 50%, 2ML AMPOULE" 2024-09-01 21.0 14.0 1.5 0.0
"FACILITY 10" "MALE CONDOMS" 2024-10-01 1480.0 10575.666666666666 0.13994389636587135 0.0
"FACILITY 10" "MEDROXYPROGESTERONE ACETATE INTRAMUSCULAR INJECTION, 150MG/ML E.G DEPO PROVERA/TRICLOFEM, VIAL" 2024-10-01 2560.0 226.66666666666666 11.294117647058824 0.0
"FACILITY 10" "MEDROXYPROGESTERONE ACETATE,SUBCUTANEOUS INJECTION, 104MG/0.65ML E.G  SAYANA PRESS,VIAL" 2024-10-01 1600.0 500.0 3.2 0.0
"FACILITY 10" "ORAL CONTRACEPTIVE TABLETS - LEVONOGESTREL ONLY 0.3MG (MICROLUT)" 2024-10-01 33.0 35.0 0.9428571428571428 0.0
"FACILITY 10" "ORAL CONTRACEPTIVE, COMBINED LOW OESTROGEN (MICROGYNON) ETHINYLESTRADIOL 0.03MG + LEVONORGESTREL 0.15MG" 2024-10-01 0.0 71.0 0.0 0.0
"FACILITY 10" "OXYTOCIN 10 IU/ML, 1ML" 2024-10-01 100.0 62.333333333333336 1.6042780748663101 0.0
"FACILITY 10" "PREGNANCY SLIDE TEST KIT (HUMAN-CHORIONIC GONADOTROPHIN) HCG" 2024-09-01 0.0 22.0 0.0 0.0
"FACILITY 100" "COPPER CONTAINING IUCD (COPPER T)" 2024-10-01 6.0 5.5 1.0909090909090908 0.0
"FACILITY 100" "IMPLANON (ETONOGESTREL 68MG),IMPLANT,1 ROD," 2024-09-01 53.0 21.666666666666668 2.446153846153846 0.0
